fecha,region,producto,unidades,precio_unitario,cliente_id
2026-01-09,Sur,Cable Kit,7,12.5,C005
2026-03-14,Oeste,Gateway,25,120.0,C032
2026-01-26,Oeste,Hub IoT,1,88.96,C016
2026-02-05,Norte,Gateway,0,120.0,C010
2026-02-07,Norte,Hub IoT,15,85.0,C027
2026-01-11,Este,Cable Kit,22,12.5,C028
2026-02-18,Este,Gateway,20,120.0,C003
2026-02-22,Este,Hub IoT,16,85.0,C007
2026-02-27,Oeste,Sensor B,18,32.0,C005
2026-02-01,Norte,Sensor A,7,19.5,C010
2026-02-21,Norte,Hub IoT,16,85.0,C018
2026-01-21,Norte,Hub IoT,2,85.0,C002
2026-02-26,Norte,Sensor B,9,32.0,C040
2026-01-20,Norte,Sensor A,5,19.5,C040
2026-01-23,Sur,Sensor B,6,32.0,C025
2026-03-03,Este,Hub IoT,23,88.04,C011
2026-01-22,Sur,Cable Kit,22,12.5,C022
2026-02-21,Norte,Gateway,5,120.0,C025
2026-01-23,Norte,Sensor A,10,19.5,C005
2026-02-19,Oeste,Gateway,4,120.0,C015
2026-01-25,Este,Sensor A,9,19.5,C036
2026-01-19,Oeste,Hub IoT,12,85.0,C003
2026-01-24,Oeste,Cable Kit,2,12.5,C035
2026-01-06,Sur,Hub IoT,2,85.0,C028
2026-01-13,Sur,Cable Kit,13,12.5,C004
2026-02-05,Norte,Sensor A,9,19.5,C013
2026-02-23,Sur,Sensor A,17,19.5,C021
2026-02-04,Norte,Sensor B,11,32.0,C036
2026-01-18,Este,Sensor B,22,32.0,C039
2026-02-22,Sur,Sensor A,20,19.5,C003
2026-01-18,Norte,Sensor B,2,32.0,C024
2026-03-31,Norte,Hub IoT,20,83.72,C024
2026-02-09,Este,Cable Kit,10,12.5,C015
2026-01-28,Norte,Gateway,8,120.0,C038
2026-01-30,Oeste,Cable Kit,11,12.5,C018
2026-03-17,Este,Gateway,16,120.0,C038
2026-02-16,Norte,Gateway,20,120.0,C032
2026-01-15,Norte,Hub IoT,7,85.0,C035
2026-03-18,Este,Sensor A,12,19.5,C012
2026-03-23,Norte,Sensor A,13,19.5,C035
2026-01-17,Sur,Hub IoT,19,83.74,C006
2026-02-09,Oeste,Cable Kit,4,0,C015
2026-03-09,Este,Hub IoT,9,83.38,C032
2026-01-12,Este,Hub IoT,23,85.0,C013
2026-03-06,Norte,Cable Kit,3,12.5,C015
2026-01-11,Oeste,Cable Kit,1,12.5,C023
2026-02-05,Sur,Sensor A,10,19.5,C034
2026-02-06,Norte,Sensor A,7,19.5,C023
2026-01-17,Norte,Cable Kit,12,12.5,C009
2026-02-08,Este,Hub IoT,21,85.0,C031
2026-03-16,Este,Hub IoT,10,85.0,C025
